height,timestamp,masp_epoch,token_address,last_inflation,last_locked
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,8521108258,79692809453
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,1899175226,15150540170
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,23593247436,99648595871
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,25594520864,1849791561124
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,326622135,14016767952
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,11116992852,428496190386
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,42144012833921
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,51190271238,1100128207926
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3823849788
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1354672296
2963278,2025-07-29T21:20:32.120898693Z,238,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34309250000
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,8003210592,79684209453
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,1781094581,15150540170
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,22164767691,99672595871
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,25588396015,1880568312965
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,305842503,14016767952
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,10414896660,428496190386
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,42043505037229
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,51177606114,1118123394536
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3823849788
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1354672296
2953278,2025-07-29T02:02:41.544192391Z,237,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34309250000
2943278,2025-07-28T06:44:24.354240965Z,236,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,7485434016,79681709453
2943278,2025-07-28T06:44:24.354240965Z,236,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,1662386904,14890540170
2943278,2025-07-28T06:44:24.354240965Z,236,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,20737028565,99672595871
