height,timestamp,masp_epoch,token_address,last_inflation,last_locked
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,20942472088,120889815882
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,4547712945,43916805257
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25783135936,106254518807
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,25785772998,1507351630934
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,849029184,14678819961
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,25785603044,679327862760
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,51750164428587
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,51571636254,1373894886033
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,2892630384
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1326683296
3288520,2025-08-25T03:19:04.141263509Z,264,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34334250000
3278520,2025-08-24T07:53:06.01984074Z,263,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,20476820910,120905282498
3278520,2025-08-24T07:53:06.01984074Z,263,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,4465516780,43916805257
3278520,2025-08-24T07:53:06.01984074Z,263,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25776446463,106029752745
