height,timestamp,masp_epoch,token_address,last_inflation,last_locked
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,776121000
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,1393807532
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,16624071000
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,0
1053278,2025-02-26T11:02:32.986692777Z,84,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,0
1043278,2025-02-25T15:48:19.046538772Z,83,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,0
