height,timestamp,masp_epoch,token_address,last_inflation,last_locked
6668008,2026-05-25T06:47:22.478475683Z,537,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66984947530497
6658008,2026-05-24T11:24:21.848047075Z,536,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66832030097229
6648008,2026-05-23T16:10:49.066684226Z,535,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66780569852554
6638008,2026-05-22T20:42:24.216137889Z,534,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66729117542588
6628008,2026-05-22T01:22:23.240311561Z,533,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66677672387037
6608008,2026-05-20T11:02:36.809794102Z,532,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66626239949022
6598008,2026-05-19T15:54:05.687133238Z,531,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66574814749630
