height,timestamp,masp_epoch,token_address,last_inflation,last_locked
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,25735694960,124901153941
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,10173790250,41384618553
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25449461880,151407511793
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,23685117817,2645964988909
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,3313877064,12942318571
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,26236388799,578720630558
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,49297631478558
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,39205686750,1177532846291
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,4938014749
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1227933296
4063598,2025-10-27T03:26:04.389656254Z,327,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
4053598,2025-10-26T07:52:10.103744397Z,326,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,25757825440,129108153941
4053598,2025-10-26T07:52:10.103744397Z,326,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,10055329655,41384757697
4053598,2025-10-26T07:52:10.103744397Z,326,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25458790688,130896711793
4053598,2025-10-26T07:52:10.103744397Z,326,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,23819689441,2646164078909
4053598,2025-10-26T07:52:10.103744397Z,326,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,3211372854,12942318571
