height,timestamp,masp_epoch,token_address,last_inflation,last_locked
6754981,2026-06-01T07:13:49.122419042Z,544,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66672153824124
6744981,2026-05-31T11:48:25.305098869Z,543,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66620634494814
6734981,2026-05-30T16:25:20.378231257Z,542,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66568698521866
6724981,2026-05-29T21:03:28.314117624Z,541,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66517193867414
6714981,2026-05-29T01:41:13.548296332Z,540,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66507272734812
6694981,2026-05-27T11:01:26.874421197Z,539,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66955782442906
6684981,2026-05-26T15:38:56.826258005Z,538,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,66968930872586
