height,timestamp,masp_epoch,token_address,last_inflation,last_locked
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,124706614156
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,41980500226
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,130392499995
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,2257406627299
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,2622778636
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,704647086007
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,42770863243186
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,29934154665,1429660338894
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,5064014749
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1727533296
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
4322361,2025-11-17T03:20:39.334425492Z,348,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,25434961914,126664414063
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,12403960750,42517824381
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,24481077929,148556599995
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,21344808640,2259226427299
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,8380925820,4057778636
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,26133864720,687060656245
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,41167831192657
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,29902306250,1221277139149
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,5064014749
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1727533296
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
4312361,2025-11-16T07:58:03.525138937Z,347,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,25464051448,131028314063
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,12305299125,42517961845
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,24534854253,150226599995
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,21433798528,2259225927299
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,7848346770,4052778636
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,26146307880,698518946624
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,40976048265030
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,30741651204,1496564566919
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,5064014749
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1727533296
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
4302361,2025-11-15T12:34:38.202883812Z,346,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,25483852932,130925265074
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,12212585252,42770468123
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,24545032820,130902585210
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,21522560787,2258107561819
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,7559174111,7033620694
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,26159741314,704211599140
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,40855198231349
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,31269689150,1480254419092
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,5064014749
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1727533296
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
4292361,2025-11-14T17:11:12.496019063Z,345,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
