height,timestamp,masp_epoch,token_address,last_inflation,last_locked
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,161047487804
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,809158230
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,5014762672
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,63355926904
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,108590663
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,3472365705
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,36348088613778
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,46425305052,633685888386
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,196420885
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1703533296
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pkfnp8vx0rdrsxyagq5ffle60hv4jwag7g06h7gx,0,0
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1p5hpxyzdpyjdmdt5axx0q8sl6tvfzdmehse9ca7z,0,0
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1pk9mqcwc8q497enfp9pgrx7x7kxfqz9etu0ur067,0,0
5445230,2026-02-16T04:30:43.674502495Z,439,tnam1phtm05yrtdw24jjjzzvnnn4svnvpa0qf3v9zggvm,0,0
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,161047487804
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,809158230
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,6584762672
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,63245926904
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,108590663
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,3472365705
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,36289902900140
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,45760809660,633585663758
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,196420885
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1703533296
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pkfnp8vx0rdrsxyagq5ffle60hv4jwag7g06h7gx,0,0
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1p5hpxyzdpyjdmdt5axx0q8sl6tvfzdmehse9ca7z,0,0
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1pk9mqcwc8q497enfp9pgrx7x7kxfqz9etu0ur067,0,0
5435230,2026-02-15T09:19:23.982751389Z,438,tnam1phtm05yrtdw24jjjzzvnnn4svnvpa0qf3v9zggvm,0,0
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,161047487804
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,809158230
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,6584762672
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,63185926904
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,108590663
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,3472365705
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,36244599369370
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,45107680500,638274038758
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,196420885
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1703533296
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1p443nycjk2w0q3al3vfnw3gw7w4qga07psfqnjtm,0,0
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pkfnp8vx0rdrsxyagq5ffle60hv4jwag7g06h7gx,0,0
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1p5hpxyzdpyjdmdt5axx0q8sl6tvfzdmehse9ca7z,0,0
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1pk9mqcwc8q497enfp9pgrx7x7kxfqz9etu0ur067,0,0
5425230,2026-02-14T14:07:28.602759437Z,437,tnam1phtm05yrtdw24jjjzzvnnn4svnvpa0qf3v9zggvm,0,0
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,0,144325965369
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,0,809158230
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,0,6586762672
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,0,61252926904
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,0,108590663
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,0,3472365705
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,36170234916680
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,44520166130,667700373934
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,196420885
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1703533296
5415230,2026-02-13T18:42:42.639392167Z,436,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34333675000
