height,timestamp,masp_epoch,token_address,last_inflation,last_locked
5879064,2026-03-23T04:38:28.731440499Z,474,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,31757260361124
5869064,2026-03-22T09:26:16.867989975Z,473,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,31711044708725
5859064,2026-03-21T14:13:52.849417421Z,472,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,31660806846179
5849064,2026-03-20T18:59:17.416614447Z,471,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,35609799953515
5839064,2026-03-19T23:46:32.613503408Z,470,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,35556921473591
5819064,2026-03-18T09:23:23.344408718Z,469,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,35505501393484
5809064,2026-03-17T14:08:04.497049212Z,468,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,35454435130747
