height,timestamp,masp_epoch,token_address,last_inflation,last_locked
7101790,2026-06-29T07:00:15.332974166Z,572,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56293867057062
7091790,2026-06-28T11:35:11.628712238Z,571,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56293867057062
7081790,2026-06-27T16:05:38.214425184Z,570,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56293867197692
7071790,2026-06-26T20:29:23.765940429Z,569,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56293868197692
7061790,2026-06-26T00:25:31.159641453Z,568,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56593868797692
7041790,2026-06-24T09:04:09.134301945Z,567,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56593868797692
7031790,2026-06-23T13:59:20.282815008Z,566,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56593968860192
7021790,2026-06-22T18:56:22.761726758Z,565,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,56593968860192
7011790,2026-06-21T23:53:42.572252183Z,564,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65531050210192
6991790,2026-06-20T09:45:05.506116114Z,563,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65561766409151
6981790,2026-06-19T14:38:48.312568766Z,562,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65561567696651
6971790,2026-06-18T19:32:17.764343955Z,561,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65509915675831
6961790,2026-06-18T00:26:05.294374884Z,560,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65458276643308
6941790,2026-06-16T10:07:50.386894821Z,559,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,65406140816833
