height,timestamp,masp_epoch,token_address,last_inflation,last_locked
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,26053732100,121000859089
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,7454289942,43579660999
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25942257996,112447366144
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,25999729525,1695562556150
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,1501203375,14751327167
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,25948277132,709422778731
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,59289745224402
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,49439406465,1589874796116
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3005630384
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1227183296
3719620,2025-09-29T03:08:40.893234144Z,299,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34334300000
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,26046768044,121998759089
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,7368526836,43579660999
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25940653493,109429866144
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,26023797963,1696798556150
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,1488879750,14751327167
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,25963749146,709422778731
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,59145464891167
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,49694229915,1405071076061
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3005630384
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1227183296
3709620,2025-09-28T07:35:50.960851918Z,298,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34334300000
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,26044610400,123001068358
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,7282106363,43553428247
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25975452296,125252516144
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,26010837709,1507945100076
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,1476554650,14751327167
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,25979221160,709422778731
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,58995700452258
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,50143065302,1409946076061
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3005630384
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1pk6pgu4cpqeu4hqjkt6s724eufu64svpqgu52m3g,0,1227183296
3699620,2025-09-27T12:07:30.726484472Z,297,tnam1pk288t54tg99umhamwx998nh0q2dhc7slch45sqy,0,34334300000
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1pkg30gnt4q0zn7j00r6hms4ajrxn6f5ysyyl7w9m,26038439960,122964868358
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1ph6xhf0defk65hm7l5ursscwqdj8ehrcdv300u4g,7194860911,43553428247
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1pklj3kwp0cpsdvv56584rsajty974527qsp8n0nm,25993353775,123580516144
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1p5z8ruwyu7ha8urhq2l0dhpk2f5dv3ts7uyf2n75,26012513947,1507751547707
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1p5z5538v3kdk3wdx7r2hpqm4uq9926dz3ughcp7n,1464228075,14751327167
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1p4px8sw3am4qvetj7eu77gftm4fz4hcw2ulpldc7,25994693174,709422778731
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7,0,57376452121053
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1pkl64du8p2d240my5umxm24qhrjsvh42ruc98f97,50579460192,1406414176061
3689620,2025-09-26T16:41:18.163544989Z,296,tnam1phv4vcuw2ftsjahhvg65w4ux8as09tlysuhvzqje,0,3005630384
